Collectivite;Budget;Exercice;I_F;D_R;Nature;SousFonction;Exécuté;Libellé nature;Libellé fonction
VILLE;1;2008;F;D;64118;40;152494,43; AUTRES INDEMNITES PERSONNEL TITULAIRE;SERVICES COMMUNS
VILLE;1;2008;F;D;6453;816;97310,45; COTISATIONS AUX CAISSES DE RETRAITES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2008;F;D;6156;90;68114,83; MAINTENANCE;INTERVENTIONS ECONOMIQUES
VILLE;1;2008;F;D;66112;;32845,84; INTERETS RATTACHEMENT DES ICNE;
VILLE;1;2008;F;D;64118;312;30517,11; AUTRES INDEMNITES PERSONNEL TITULAIRE;ARTS PLASTIQUES ET AUTRES ACTIVITES ARTISTIQUES
VILLE;1;2008;F;D;6331;22;33100,39; VERSEMENT DE TRANSPORT;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;I;D;205;22;10292,4; CONCESSIONS ET DROITS SIMILAIRES BREVETS LICENCES MARQUES PROCEDES DROITS ET VAL;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;F;D;60631;832;1570,37; FOURNITURES D'ENTRETIEN;ACTIONS SPECIFIQUES DE LUTTE CONTRE LA POLLUTION
VILLE;1;2008;I;D;2312;64;3948; IMMOBILISATIONS EN COURS TERRAINS;CRECHES ET GARDERIES
VILLE;1;2008;F;D;617;323;464; ETUDES ET RECHERCHES;ARCHIVES
VILLE;1;2008;I;R;1323;414;54004; SUBV EQUIP NON TRANSF DEPARTE;AUTRES EQUIPEMENTS SPORTIFS OU DE LOISIR
VILLE;1;2008;F;R;70631;412;81724,84; redevances et droits a caracte;STADES
VILLE;1;2008;F;D;6331;312;2801,8; VERSEMENT DE TRANSPORT;ARTS PLASTIQUES ET AUTRES ACTIVITES ARTISTIQUES
VILLE;1;2008;F;R;74718;;5000; AUTRES;
VILLE;1;2008;F;D;637;422;249,94; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;6226;814;78756,83; HONORAIRES;ECLAIRAGE PUBLIC
VILLE;1;2008;F;D;6236;520;24488,1; CATALOGUES ET IMPRIMES;SERVICES COMMUNS
VILLE;1;2008;F;D;64731;91;17405,4; ALLOC CHOM;FOIRES ET MARCHES
VILLE;1;2008;F;R;758;64;245685,94; Produits divers de gestion cou;CRECHES ET GARDERIES
VILLE;1;2008;I;D;2313;411;450706,74; IMMOBILISATIONS EN COURS CONSTRUCTION;SALLES DE SPORT, GYMNASES
VILLE;1;2008;F;D;6228;823;13950,56; DIVERS;ESPACES VERTS URBAINS
VILLE;1;2008;I;D;2313;26;956,8; IMMOBILISATIONS EN COURS CONSTRUCTION;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2008;F;D;6042;822;1682,87; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2008;F;D;6531;21;1020873,98; INDEMNITES DES MAIRES ADJOINTS ET CONSEILLERS;ASSEMBLEE LOCALE
VILLE;1;2008;F;D;6065;30;876,73; LIVRES DISQUES CASSETTES;SERVICES COMMUNS
VILLE;1;2008;F;D;6064;12;2582,83; FOURNITURES ADMINISTRATIVES;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2008;F;D;64118;816;115716,47; AUTRES INDEMNITES PERSONNEL TITULAIRE;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2008;F;D;64131;211;431971,72; REMUNERATION;ECOLES MATERNELLES
VILLE;1;2008;F;R;7067;421;91081,47; REDEVANCES ET DROITS DES SERVICES PERISCOLAIRES ET D ENSEIGNEMENT;CENTRES DE LOISIRS
VILLE;1;2008;F;D;6488;23;34928; AUTRES CHARGES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2008;F;D;6451;48;43271,6; COTISATIONS A L'URSSAF;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;F;D;64131;323;22188; REMUNERATION;ARCHIVES
VILLE;1;2008;F;D;6156;22;192,79; MAINTENANCE;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;F;D;6182;212;24105,16; DOCUMENTATION GENERALE ET TECHNIQUE;ECOLES PRIMAIRES
VILLE;1;2008;F;D;60632;20;439930,29; FOURNITURES DE PETIT EQUIPEMENT;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;D;2184;20;166237,63; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;R;1321;412;112500; SUBVENTIONS D' EQUIP NON TRANSFERABLES  ETAT & ETABLISSEMENT NATIONAUX;STADES
VILLE;1;2008;F;D;6156;112;77252,69; MAINTENANCE;POLICE MUNICIPALE
VILLE;1;2008;F;D;61558;40;6117,21; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;SERVICES COMMUNS
VILLE;1;2008;F;D;64131;12;34090,56; REMUNERATION;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2008;F;R;7351;;3958818,55; TAXE SUR L'ELECTRICITE;
VILLE;1;2008;I;D;2033;822;21003,08; FRAIS D'INSERTION;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2008;F;D;6282;251;366,85; FRAIS DE GARDIENNAGE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2008;F;D;611;30;334018,14; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;SERVICES COMMUNS
VILLE;1;2008;F;D;615221;213;174237,49; ENTRETIEN ET REP BAT PUBLICS;CLASSES REGROUPEES
VILLE;1;2008;I;D;2135;422;102421,85; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;64118;24;650688,55; AUTRES INDEMNITES PERSONNEL TITULAIRE;FETES ET CEREMONIES
VILLE;1;2008;F;D;6185;48;24132,64; FRAIS DE COLLOQUES ET SEMINAIRES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;F;D;60632;814;156297,97; FOURNITURES DE PETIT EQUIPEMENT;ECLAIRAGE PUBLIC
VILLE;1;2008;F;D;60631;422;626,81; FOURNITURES D'ENTRETIEN;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;I;D;2183;64;21819,38; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;CRECHES ET GARDERIES
VILLE;1;2008;F;D;60632;412;37113,05; FOURNITURES DE PETIT EQUIPEMENT;STADES
VILLE;1;2008;F;D;60623;421;4814,72; ALIMENTATION;CENTRES DE LOISIRS
VILLE;1;2008;I;D;2188;822;185816,58; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2008;F;D;6488;20;687657,78; AUTRES CHARGES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;R;1323;422;244606,02; SUBV EQUIP NON TRANSF DEPARTE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;R;7476;213;356541,64; SUBVENTIONS ET PARTICIPATIONS CCAS ET CAISSE DES ECOLES;CLASSES REGROUPEES
VILLE;1;2008;F;D;678;;45357,5; AUTRES CHARGES EXCEPTIONNELLES;
VILLE;1;2008;F;D;6067;211;472204,18; FOURNITURES SCOLAIRES;ECOLES MATERNELLES
VILLE;1;2008;F;R;7788;813;1174534,43; PRODUITS EXCEPTIONNELS DIVERS;PROPRETE URBAINE
VILLE;1;2008;F;D;64112;48;1354,69; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;I;D;2183;24;975,94; AUTRES IMMOBILISATIONS CORPORELLES MATERIEL DE BUREAU ET INFORMATIQUE;FETES ET CEREMONIES
VILLE;1;2008;F;D;658;20;1404,08; CHARGES DIVERSES DE LA GESTION COURANTE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;61558;820;89,51; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;SERVICES COMMUNS
VILLE;1;2008;F;D;6182;323;76,16; DOCUMENTATION GENERALE ET TECHNIQUE;ARCHIVES
VILLE;1;2008;F;D;6182;20;96121,37; DOCUMENTATION GENERALE ET TECHNIQUE;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;61551;823;26727,28; ENTRETIEN ET REPARATIONS MATERIEL ROULANT;ESPACES VERTS URBAINS
VILLE;1;2008;F;D;6488;412;86065,04; AUTRES CHARGES;STADES
VILLE;1;2008;F;D;6232;20;14576,66; FETES ET CEREMONIES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;6236;824;7125,04; CATALOGUES ET IMPRIMES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;64111;411;951742,28; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;SALLES DE SPORT, GYMNASES
VILLE;1;2008;F;D;61523;822;713571,15; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2008;F;D;637;823;259; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);ESPACES VERTS URBAINS
VILLE;1;2008;F;D;6532;48;66310,64; FRAIS DE MISSIONS MAIRES ADJOINTS CONSEILLERS;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;I;R;1323;823;2088099,96; SUBV EQUIP NON TRANSF DEPARTE;ESPACES VERTS URBAINS
VILLE;1;2008;F;D;60636;48;826,4; VETEMENTS DE TRAVAIL;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;F;D;6064;813;2655,06; FOURNITURES ADMINISTRATIVES;PROPRETE URBAINE
VILLE;1;2008;F;D;64112;112;191185,88; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;POLICE MUNICIPALE
VILLE;1;2008;F;D;6761;;3417027,96; DIFFERENCES SUR REALISATIONS (POSITIVES) TRANSFEREES EN INVESTISSEMENT;
VILLE;1;2008;F;D;60632;212;84175,02; FOURNITURES DE PETIT EQUIPEMENT;ECOLES PRIMAIRES
VILLE;1;2008;F;R;7482;;31499; COMPENSATION P/PERTE  TAXE ADDITIONN.DROITS MUTATION OU TAXE PUBLICITE FONCIERE;
VILLE;1;2008;F;D;64111;814;443061,97; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ECLAIRAGE PUBLIC
VILLE;1;2008;F;D;6451;810;32579,04; COTISATIONS A L'URSSAF;SERVICES COMMUNS
VILLE;1;2008;F;D;6238;421;41716,51; DIVERS;CENTRES DE LOISIRS
VILLE;1;2008;F;D;60628;23;55,62; AUTRES FOURNITURES NON STOCKEES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2008;I;D;2042;824;1116439,72; SUBVENTIONS EQUIPEMENT AUX PERSONNES DE DROIT PRIVE;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;61558;64;15063,78; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;CRECHES ET GARDERIES
VILLE;1;2008;I;D;2313;112;12700,56; IMMOBILISATIONS EN COURS CONSTRUCTION;POLICE MUNICIPALE
VILLE;1;2008;F;D;6282;814;349,09; FRAIS DE GARDIENNAGE;ECLAIRAGE PUBLIC
VILLE;1;2008;I;D;2312;213;18598,05; IMMOBILISATIONS EN COURS TERRAINS;CLASSES REGROUPEES
VILLE;1;2008;I;D;2313;211;2035310,89; IMMOBILISATIONS EN COURS CONSTRUCTION;ECOLES MATERNELLES
VILLE;1;2008;F;D;611;12;58791,55; CONTRATS DE PRESTATIONS DE SERVICES AVEC DES ENTREPRISES;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2008;F;D;637;213;96; AUTRES IMPOTS TAXES ET VERSTS ASSIMILES (AUTRES ORGANISMES);CLASSES REGROUPEES
VILLE;1;2008;F;D;6574;212;1175745; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;ECOLES PRIMAIRES
VILLE;1;2008;F;D;6232;22;3669,32; FETES ET CEREMONIES;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;F;D;6231;824;17897,35; ANNONCES ET INSERTIONS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;6233;520;131099,79; FOIRES ET EXPOSITIONS;SERVICES COMMUNS
VILLE;1;2008;F;D;6236;23;39961,01; CATALOGUES ET IMPRIMES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2008;F;D;617;212;139,93; ETUDES ET RECHERCHES;ECOLES PRIMAIRES
VILLE;1;2008;F;D;60623;832;195,8; ALIMENTATION;ACTIONS SPECIFIQUES DE LUTTE CONTRE LA POLLUTION
VILLE;1;2008;F;D;60623;64;286422,15; ALIMENTATION;CRECHES ET GARDERIES
VILLE;1;2008;I;R;1328;64;80334,49; SUBV D EQUIPEMENT AUTRES;CRECHES ET GARDERIES
VILLE;1;2008;I;D;2121;823;107547,57; PLANTATIONS D'ARBRES ET D'ARBUSTES;ESPACES VERTS URBAINS
VILLE;1;2008;F;D;60636;821;9235,03; VETEMENTS DE TRAVAIL;EQUIPEMENTS DE VOIRIE
VILLE;1;2008;F;D;60633;40;1752,04; FOURNITURES DE VOIRIE;SERVICES COMMUNS
VILLE;1;2008;F;R;758;20;594837,9; Produits divers de gestion cou;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;D;20418;72;98994,87; SBVENTIONE EQUIPEMENT AUTRES ORGANISMES PUBLICS;AIDE AU SECTEUR LOCATIF
VILLE;1;2008;I;D;2135;20;106937,82; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;R;7761;;264623,81; DIFFERENCES SUR REALISATIONS (NEGATIVES) REPRISES AU COMPTE DE RESULTAT;
VILLE;1;2008;F;R;7478;823;10571,09; SUBVENTIONS ET PARTICIPATIONS AUTRES ORGANISMES;ESPACES VERTS URBAINS
VILLE;1;2008;F;D;60631;411;24109,79; FOURNITURES D'ENTRETIEN;SALLES DE SPORT, GYMNASES
VILLE;1;2008;F;D;60628;251;244917,85; AUTRES FOURNITURES NON STOCKEES;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2008;F;D;6282;211;14255,18; FRAIS DE GARDIENNAGE;ECOLES MATERNELLES
VILLE;1;2008;I;D;2188;20;301096,55; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;6331;48;3399,84; VERSEMENT DE TRANSPORT;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;I;D;2031;823;4259,04; FRAIS D'ETUDES;ESPACES VERTS URBAINS
VILLE;1;2008;I;D;2184;422;67501,86; AUTRES IMMOBILISATIONS CORPORELLES MOBILIER;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;I;D;2188;816;428,91; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2008;F;D;64831;91;2674,11; INDEMNITES AUX AGENTS;FOIRES ET MARCHES
VILLE;1;2008;F;D;6236;832;4221,88; CATALOGUES ET IMPRIMES;ACTIONS SPECIFIQUES DE LUTTE CONTRE LA POLLUTION
VILLE;1;2008;F;D;6451;21;73462,24; COTISATIONS A L'URSSAF;ASSEMBLEE LOCALE
VILLE;1;2008;F;D;64118;421;19213,93; AUTRES INDEMNITES PERSONNEL TITULAIRE;CENTRES DE LOISIRS
VILLE;1;2008;F;R;7088;30;272,89; AUTRES PRODUITS D ACTIVITES ANNEXES;SERVICES COMMUNS
VILLE;1;2008;I;D;2318;112;528225,91; AUTRES IMMOBILISATIONS CORPORELLES EN COURS;POLICE MUNICIPALE
VILLE;1;2008;F;D;6241;20;4929,91; TRANSPORT DE BIENS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;D;2188;324;47888,63; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2008;F;D;6156;251;33779,83; MAINTENANCE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2008;F;D;64131;21;65711,64; REMUNERATION;ASSEMBLEE LOCALE
VILLE;1;2008;F;D;64131;251;289308,2; REMUNERATION;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2008;F;D;60632;820;361,31; FOURNITURES DE PETIT EQUIPEMENT;SERVICES COMMUNS
VILLE;1;2008;F;D;6453;48;37948,95; COTISATIONS AUX CAISSES DE RETRAITES;AUTRES ACTIONS DE COOPERATION DECENTRALISEE
VILLE;1;2008;F;R;70321;822;10696; DROITS DE STATIONNEMENT ET DE LOCATION SUR LA VOIE PUBLIQUE;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2008;F;R;7714;20;237,48; RECOUVREMENT SUR CREANCES ADMISES EN NON VALEUR;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;D;2135;30;21745,67; INSTALLATIONS GENERALES, AGENCEMENTS, AMENAGTS DES CONSTRUCTIONS;SERVICES COMMUNS
VILLE;1;2008;I;D;2033;824;28941,03; FRAIS D'INSERTION;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;6453;814;125806,93; COTISATIONS AUX CAISSES DE RETRAITES;ECLAIRAGE PUBLIC
VILLE;1;2008;F;D;64831;64;8068,62; INDEMNITES AUX AGENTS;CRECHES ET GARDERIES
VILLE;1;2008;F;D;60623;251;1927294,51; ALIMENTATION;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2008;F;D;64118;91;279049,75; AUTRES INDEMNITES PERSONNEL TITULAIRE;FOIRES ET MARCHES
VILLE;1;2008;I;D;2031;422;4269,72; FRAIS D'ETUDES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;615221;411;146679,66; ENTRETIEN ET REP BAT PUBLICS;SALLES DE SPORT, GYMNASES
VILLE;1;2008;F;D;6451;816;66132,08; COTISATIONS A L'URSSAF;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2008;F;D;6064;22;46025,08; FOURNITURES ADMINISTRATIVES;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;F;D;64112;422;61938,2; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;6488;422;110312,58; AUTRES CHARGES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;6331;12;7614,89; VERSEMENT DE TRANSPORT;HYGIENE ET SALUBRITE PUBLIQUE
VILLE;1;2008;I;D;2313;64;1784432,38; IMMOBILISATIONS EN COURS CONSTRUCTION;CRECHES ET GARDERIES
VILLE;1;2008;I;D;2313;810;7133,55; IMMOBILISATIONS EN COURS CONSTRUCTION;SERVICES COMMUNS
VILLE;1;2008;I;R;1328;422;250000; SUBV D EQUIPEMENT AUTRES;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;R;7067;823;21373,3; REDEVANCES ET DROITS DES SERVICES PERISCOLAIRES ET D ENSEIGNEMENT;ESPACES VERTS URBAINS
VILLE;1;2008;F;D;60636;824;73,58; VETEMENTS DE TRAVAIL;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;61558;422;598; ENTRETIEN ET REPARATIONS AUTRES BIENS MOBILIERS;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;6331;822;75164,46; VERSEMENT DE TRANSPORT;VOIRIE COMMUNALE ET ROUTES
VILLE;1;2008;F;D;617;20;9890,92; ETUDES ET RECHERCHES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;6451;422;399654,99; COTISATIONS A L'URSSAF;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;6283;20;91078,51; FRAIS DE NETTOYAGE DES LOCAUX;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;6574;72;16900; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;AIDE AU SECTEUR LOCATIF
VILLE;1;2008;F;D;60628;412;50989,96; AUTRES FOURNITURES NON STOCKEES;STADES
VILLE;1;2008;F;D;60632;816;514,51; FOURNITURES DE PETIT EQUIPEMENT;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2008;F;D;6238;30;376358,01; DIVERS;SERVICES COMMUNS
VILLE;1;2008;F;D;64118;211;1197501,69; AUTRES INDEMNITES PERSONNEL TITULAIRE;ECOLES MATERNELLES
VILLE;1;2008;F;D;64831;20;5080,91; INDEMNITES AUX AGENTS;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;60612;24;15545,01; ENERGIE ET ELECTRICITE;FETES ET CEREMONIES
VILLE;1;2008;F;D;6453;821;226000,61; COTISATIONS AUX CAISSES DE RETRAITES;EQUIPEMENTS DE VOIRIE
VILLE;1;2008;F;D;64111;22;1752834; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;F;D;6331;40;11076,45; VERSEMENT DE TRANSPORT;SERVICES COMMUNS
VILLE;1;2008;F;D;60224;20;146002,14; FOURNITURES ADMINISTRATIVES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;I;D;16818;;22674,12; AUTRES EMPRUNTS AUTRES PRETEURS;
VILLE;1;2008;F;D;62878;26;53990,75; REMBOURSEMENT DE FRAIS A D'AUTRES ORGANISMES;CIMETIERES ET POMPES FUNEBRES
VILLE;1;2008;F;D;6231;816;3395,89; ANNONCES ET INSERTIONS;AUTRES RESEAUX ET SERVICES DIVERS
VILLE;1;2008;F;D;64112;251;50411,07; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;HEBERGEMENT ET RESTAURATION SCOLAIRE
VILLE;1;2008;F;D;6488;21;18702; AUTRES CHARGES;ASSEMBLEE LOCALE
VILLE;1;2008;F;D;64112;21;6835,16; NBI, SUPPLEMENT FAMILIAL DE TRAITEMENT ET INDEMNITE DE RESIDENCE;ASSEMBLEE LOCALE
VILLE;1;2008;I;D;20418;824;3181700; SBVENTIONE EQUIPEMENT AUTRES ORGANISMES PUBLICS;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;6262;22;10368,25; FRAIS DE TELECOMMUNICATIONS;ADMINISTRATION GENERALE DE L'ETAT
VILLE;1;2008;F;D;60622;823;10224,75; CARBURANTS;ESPACES VERTS URBAINS
VILLE;1;2008;I;D;205;213;1583,24; CONCESSIONS ET DROITS SIMILAIRES BREVETS LICENCES MARQUES PROCEDES DROITS ET VAL;CLASSES REGROUPEES
VILLE;1;2008;F;D;60611;30;4165,95; EAU ET ASSAINISSSEMENT;SERVICES COMMUNS
VILLE;1;2008;F;D;64731;20;37701,71; ALLOC CHOM;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;6453;824;57122,74; COTISATIONS AUX CAISSES DE RETRAITES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;60636;810;3753,4; VETEMENTS DE TRAVAIL;SERVICES COMMUNS
VILLE;1;2008;F;D;6226;823;17056,36; HONORAIRES;ESPACES VERTS URBAINS
VILLE;1;2008;F;D;61523;821;174389,95; ENTRETIEN ET REPARATIONS VOIES ET RESEAUX;EQUIPEMENTS DE VOIRIE
VILLE;1;2008;I;D;2188;23;12572,45; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2008;F;D;6132;40;31860,05; LOCATIONS IMMOBILIERES;SERVICES COMMUNS
VILLE;1;2008;F;D;6042;821;412,35; ACHATS DE PRESTATIONS DE SERVICES AUTRES QUE TERRAINS A AMENAGER;EQUIPEMENTS DE VOIRIE
VILLE;1;2008;F;R;758;30;11425,08; Produits divers de gestion cou;SERVICES COMMUNS
VILLE;1;2008;I;R;1323;324;29506,07; SUBV EQUIP NON TRANSF DEPARTE;ENTRETIEN DU PATRIMOINE CULTUREL
VILLE;1;2008;F;D;6236;64;1317,99; CATALOGUES ET IMPRIMES;CRECHES ET GARDERIES
VILLE;1;2008;F;R;7718;813;5,56; AUTRES PRODUITS EXCEPTIONNELS SUR OPERATIONS DE GESTION;PROPRETE URBAINE
VILLE;1;2008;F;D;6574;824;50000; SUBVENTIONS DE FONCTIONNEMENT AUX ASSOCIATIONS ET AUTRES ORGANISMES;AUTRES OPERATIONS D'AMENAGEMENT URBAIN
VILLE;1;2008;F;D;6233;323;40070,48; FOIRES ET EXPOSITIONS;ARCHIVES
VILLE;1;2008;F;D;61522;212;394566,6; ENTRETIEN ET REPARATIONS BATIMENTS;ECOLES PRIMAIRES
VILLE;1;2008;F;D;6182;422;7648,48; DOCUMENTATION GENERALE ET TECHNIQUE;AUTRES ACTIVITES POUR LES JEUNES
VILLE;1;2008;F;D;60632;813;18,42; FOURNITURES DE PETIT EQUIPEMENT;PROPRETE URBAINE
VILLE;1;2008;F;D;6238;520;9427,26; DIVERS;SERVICES COMMUNS
VILLE;1;2008;F;D;60632;24;14733,37; FOURNITURES DE PETIT EQUIPEMENT;FETES ET CEREMONIES
VILLE;1;2008;F;R;758;23;16993,55; Produits divers de gestion cou;INFORMATION, COMMUNICATION, PUBLICITE
VILLE;1;2008;F;D;64111;24;790824,76; REMUNERATION PRINCIPALE PERSONNEL TITULAIRE;FETES ET CEREMONIES
VILLE;1;2008;F;D;6156;91;85572,59; MAINTENANCE;FOIRES ET MARCHES
VILLE;1;2008;F;D;60631;520;364,47; FOURNITURES D'ENTRETIEN;SERVICES COMMUNS
VILLE;1;2008;F;R;7788;814;7296,12; PRODUITS EXCEPTIONNELS DIVERS;ECLAIRAGE PUBLIC
VILLE;1;2008;F;R;745;;19257; DOTATION SPECIALE AU TITRE DES INSTITUTEURS;
VILLE;1;2008;F;D;617;64;2943,36; ETUDES ET RECHERCHES;CRECHES ET GARDERIES
VILLE;1;2008;F;R;776;;1138897,26; DIFFERENCES SUR REALISATIONS (NEGATIVES) REPRISES AU COMPTE DE RESULTAT;
VILLE;1;2008;F;R;7411;;47746745; DOTATION FORFAITAIRE;
VILLE;1;2008;I;D;2188;813;101048,96; AUTRES IMMOBILISATIONS CORPORELLES AUTRES;PROPRETE URBAINE
VILLE;1;2008;F;D;6188;212;15238,2; AUTRES FRAIS DIVERS;ECOLES PRIMAIRES
VILLE;1;2008;I;D;275;;56400; AUTRES IMMOBILISATIONS FINANCIERES DEPOTS ET CAUTIONNEMENTS VERSES;
VILLE;1;2008;F;D;64731;212;214855,79; ALLOC CHOM;ECOLES PRIMAIRES
VILLE;1;2008;F;D;6236;20;35348,8; CATALOGUES ET IMPRIMES;ADMINISTRATION GENERALE DE LA COLLECTIVITE
VILLE;1;2008;F;D;61521;415;70972,75; ENTRETIEN ET REPARATIONS SUR TERRAINS;MANIFESTATIONS SPORTIVES
VILLE;1;2008;I;R;21318;;2224949,15; AUTRES BATIMENTS PUBLICS;
